isbn,title,subtitle,long_summary,short_summary,page_count,series_name,genres,publisher_name,published_at,authors,author_bios,quotes,awards,year_rank,global_rank,amazon_associates_link,amazon_associates_kindle_link,amazon_associates_audible_link
9780385550369,James,,"The decision to escape changes everything. Jim faces an impossible choice: accept being sold away from his family or risk everything for freedom. His flight to Jackson Island intersects with Huck Finn's own desperate escape from an abusive father, setting both on a perilous river journey that will test every assumption about survival, loyalty, and what it means to be free.

This bold reimagining shifts the entire narrative lens. Jim emerges not as a secondary figure but as a fully realized protagonist whose wit, courage, and moral complexity drive the story forward. The familiar landmarks of Twain's original—treacherous weather, unexpected allies and enemies, the con men Duke and Dauphin—take on new meaning when filtered through Jim's perspective and agency.

Everett masterfully balances devastating social critique with moments of sharp humor, creating a work that both honors and fundamentally challenges its literary predecessor. The result interrogates the very foundations of American storytelling, asking who gets to be the hero of their own narrative and what voices have been silenced in our most celebrated tales.","Everett reimagines Huckleberry Finn from Jim's perspective, transforming literature's most problematic friendship into something honest and profound. Both harrowing and ferociously funny, with Jim finally given the agency and intelligence he deserves.",320,,Fiction / Historical,Doubleday,19/03/2024,Percival Everett,"Percival Everett teaches as Distinguished Professor of English at USC and has established himself as one of contemporary literature's most versatile voices. Among his notable works are Dr. No (NBCC Award finalist and PEN/Jean Stein Book Award winner), The Trees (Booker Prize and PEN/Faulkner Award finalist), Telephone (Pulitzer Prize finalist), So Much Blue, Erasure, and I Am Not Sidney Poitier. His honors include the NBCC Ivan Sandrof Life Achievement Award and Yale's Windham Campbell Prize. His novel Erasure became the Academy Award-winning film American Fiction. Everett lives in Los Angeles with writer Danzy Senna and their children.","""Percival Everett is a giant of American letters, and James is a canon-shatteringly great book. Unforgiving and compassionate, beautiful and brutal, a tragedy and a farce, this brilliant novel rewrites literary history to let us hear the voices it has long suppressed.""

—Hernan Diaz, author of Trust

""This is a brilliant, accessible, and very necessary companion to Huckleberry Finn.""

—Dave Eggers, author of The Eyes and the Impossible

""James is funny and horrifying, brilliant and riveting. In telling the story of Jim instead of Huckleberry Finn, Percival Everett delivers a powerful, necessary corrective to both literature and history. I found myself cheering both the writer and his hero. Who should read this book? Every single person in the country.""

—Ann Patchett",,1,1,https://amzn.to/3YhmBf7,https://amzn.to/3Z16qCN,https://amzn.to/49ERYGQ
9780812993547,Between the World and Me,Notes on the First 150 Years in America,"Ta-Nehisi Coates sits down to write his teenage son a letter about what it means to navigate America in a Black body. This correspondence becomes something far more expansive—a reckoning with centuries of violence, exploitation, and systemic racism that continues to shape contemporary life.

Drawing from his own intellectual awakening and lived experiences across different landscapes—from university halls to urban neighborhoods, from historical sites to the homes of grieving families—Coates constructs a framework for understanding how racial mythology has been foundational to American society. His personal journey of discovery becomes a lens through which to examine how this mythology continues to manifest in police violence, mass incarceration, and the ongoing devaluation of Black lives.

The result is an unflinching examination of American racial dynamics that refuses easy consolation or false hope. Instead, it offers clear-eyed analysis rooted in historical understanding and paternal love, creating space for honest conversation about the realities his son will inherit and navigate.","Coates writes to his teenage son about inhabiting a Black body in America, weaving personal narrative with historical analysis. A searing meditation on race that illuminates four centuries of American history through one father's urgent, necessary reckoning.",176,,Biography & Autobiography / Memoirs,One World,14/07/2015,Ta-Nehisi Coates,"Ta-Nehisi Coates has written several influential works including The Beautiful Struggle, We Were Eight Years in Power, The Water Dancer, and Between the World and Me, which earned the National Book Award in 2015. A MacArthur Fellowship recipient, Coates currently resides in New York City alongside his wife and son.","""I've been wondering who might fill the intellectual void that plagued me after James Baldwin died. Clearly it is Ta-Nehisi Coates. The language of Between the World and Me, like Coates's journey, is visceral, eloquent, and beautifully redemptive. And its examination of the hazards and hopes of black male life is as profound as it is revelatory. This is required reading.""

—Toni Morrison

""Ta-Nehisi Coates is the James Baldwin of our era, and this is his cri de coeur. A brilliant thinker at the top of his powers, he has distilled four hundred years of history and his own anguish and wisdom into a prayer for his beloved son and an invocation to the conscience of his country.""

—Isabel Wilkerson, author of Caste & The Warmth of Other Suns

""Brilliant . . . a riveting meditation on the state of race in America . . . [Coates] is firing on all cylinders, and it is something to behold: a mature writer entirely consumed by a momentous subject and working at the extreme of his considerable powers at the very moment national events most conform to his vision.""

—The Washington Post",,1,1,https://amzn.to/4jsSJGn,https://amzn.to/3Nu6acY,https://amzn.to/49CAScG
9781501126062,"Sing, Unburied, Sing",,"At thirteen, Jojo finds himself caught between worlds—searching for guidance from his grandfather Pop while grappling with the absence of his father Michael, who's been imprisoned. His mother Leonie struggles with her own demons, including drug addiction and the weight of an interracial relationship in the South. She's haunted by visions of her deceased brother, a connection that brings both solace and torment.

The family's journey to collect Michael from Mississippi's infamous Parchman penitentiary becomes a reckoning with generational trauma and the lingering wounds of racial violence. Along the way, Jojo encounters the spirit of another young boy—a former inmate whose story illuminates the prison's dark legacy and the cyclical nature of suffering that has shaped the region.

Through multiple perspectives, the novel examines how the past refuses to stay buried, how family bonds can both sustain and suffocate, and how young people inherit the unresolved pain of previous generations. The supernatural elements serve as a bridge between historical injustice and contemporary struggle, revealing how trauma echoes across time and bloodlines.",Thirteen-year-old Jojo navigates a family road trip to pick up his father from Mississippi's notorious Parchman prison. Ward weaves together the living and the dead in prose that's both lyrical and unflinching.,304,,Fiction / Literary,Scribner,05/09/2017,Jesmyn Ward,"Jesmyn Ward earned her MFA from the University of Michigan and has been honored with numerous prestigious awards including the MacArthur Genius Grant, a Stegner Fellowship, the Strauss Living Prize, and the 2022 Library of Congress Prize for American Fiction. She is a two-time National Book Award winner for Fiction, receiving the honor for both Sing, Unburied, Sing and Salvage the Bones. Her other works include Where the Line Bleeds and the memoir Men We Reaped, which earned the Chicago Tribune Heartland Prize. Ward teaches creative writing at Tulane University and makes her home in Mississippi.","""Ghosts, literal and literary, haunt nearly every page of Sing, Unburied, Sing — a novel whose boundaries between the living and the dead shift constantly, like smoke or sand. Set on the Gulf Coast of Mississippi (a place rich in oil rigs and atmosphere, if almost nothing else), the book's Southern gothic aura recalls the dense, head-spinning prose of William Faulkner or Flannery O'Connor. But the voice is entirely Ward's own, a voluptuous magical realism that takes root in the darkest corners of human behavior ... Ward, whose Salvage the Bones won a National Book Award, has emerged as one of the most searing and singularly gifted writers working today.""

—Entertainment Weekly

""Sing, Unburied Sing is Ward's third novel and her most ambitious yet. Her lyrical prose takes on, alternately, the tones of a road novel and a ghost story ... Sing, which is longlisted for a 2017 National Book Award, establishes Ward as one of the most poetic writers in the conversation about America's unfinished business in the black South.""

—The Atlantic

""The connection between the injustices of the past and the desperation of present are clearly drawn in Sing, Unburied, Sing, a book that charts the lines between the living and the dead, the loving and the broken. I am a huge fan of Jesmyn Ward's work, and this book proves that she is one of the most important writers in America today.""

—Ann Patchett, author of Tom Lake, The Dutch House, Commonwealth & State of Wonder",,1,2,https://amzn.to/4qtffBa,https://amzn.to/3N9HTsB,https://amzn.to/4jlZ9Hf
9780553447439,Evicted,Poverty and Profit in the American City,"Eight Milwaukee families navigate the brutal mathematics of survival in America's rental market, where a single missed payment can spiral into homelessness. Matthew Desmond's immersive investigation reveals a system where displacement has become profitable, trapping vulnerable tenants in an endless cycle of instability.

Living alongside his subjects in neglected neighborhoods, Desmond captures the impossible calculations families make daily—choosing between medicine and rent, heat and groceries. These aren't isolated tragedies but symptoms of a larger machine that extracts wealth from those who can least afford it. Children switch schools repeatedly, parents lose jobs due to constant moves, and entire communities fracture under the weight of perpetual uncertainty.

This isn't merely an exposé of individual hardship but an examination of how America's housing crisis manufactures and sustains poverty. Desmond connects the dots between policy failures and personal devastation, showing how the absence of stable shelter undermines every other aspect of human flourishing. The result challenges readers to reconsider fundamental assumptions about economic mobility and the true cost of inequality in contemporary America.","Following eight Milwaukee families through eviction court and precarious rentals, Desmond shows how housing instability isn't just a symptom of poverty—it's a cause. Riveting narrative meets agenda-setting research.",432,,Social Science / Sociology / Urban,Crown,01/03/2016,Matthew Desmond,"Matthew Desmond founded Princeton University's Eviction Lab and serves as the Maurice P. During Professor of Sociology there. His work Evicted: Poverty and Profit in the American City earned him the Pulitzer Prize, National Book Critics Circle Award, and PEN/John Kenneth Galbraith Award. Desmond received a MacArthur Fellowship and regularly contributes to The New York Times Magazine.","""After reading Evicted, you'll realize you cannot have a serious conversation about poverty without talking about housing. . . . The book is that good, and it's that unignorable.""

—Jennifer Senior, New York Times

""This book gave me a better sense of what it is like to be very poor in this country than anything else I have read. . . . It is beautifully written, thought-provoking, and unforgettable.""

—Bill Gates

""My God, what [Evicted] lays bare about American poverty. It is devastating and infuriating and a necessary read.""

—Roxane Gay, author of Bad Feminist and Difficult Women",,1,2,https://amzn.to/49k9LSp,https://amzn.to/3YnFZqW,https://amzn.to/49E2Mow
9780316496421,Homeland Elegies,,"In this genre-defying memoir-novel hybrid, questions of American identity become deeply personal as an immigrant family navigates the fractured landscape of contemporary America. The narrative weaves between intimate family moments and broader cultural reckonings, examining how the events of September 11th reshaped not just foreign policy but the very notion of who gets to belong in America.

Moving from small-town America to the corridors of European power to the mountains of Afghanistan, the book interrogates the cost of assimilation and the weight of inherited trauma. Financial ruin shadows working families while Wall Street prospers, immigrants face mounting hostility, and America's foreign interventions create new cycles of violence. Through unflinching self-examination and sharp social observation, this work refuses easy answers about patriotism, faith, and the American dream, instead offering a complex portrait of what it means to love a country that may not love you back.","From the Pulitzer Prize-winning author comes a genre-bending work that follows an immigrant father and son searching for belonging in post-Trump America. Raw, ambitious, and unflinching in its examination of identity and home.",368,,Fiction / Cultural Heritage,"Little, Brown and Company",15/09/2020,Ayad Akhtar,"Ayad Akhtar writes novels and plays that have reached audiences across more than two dozen languages worldwide. His theatrical and literary achievements include the Pulitzer Prize for Drama, the Edith Wharton Citation of Merit for Fiction, and an Award in Literature from the American Academy of Arts and Letters, establishing him as a distinctive voice in contemporary American literature.","""[A] moving and confrontational novel . . .  Homeland Elegies deals in ambiguities that were beyond the pale of public discourse in the years after 9/11. . . . He has an unerring sense for the sore spots, the bitter truths that have emerged from this history.""

—Hari Kunzru, New York Times Book Review

""At the core of this flashing, kinetic coil of a story -- part 1001 Nights, part Reality TV -- is a passionate, wrenching portrayal of Americans exiled into 'otherness'.""

—Jennifer Egan, author of Manhattan Beach and A Visit From the Goon Squad

""Homeland Elegies is the astonishing work of an absolutely brilliant writer. With exquisite prose and lacerating honesty, Ayad Akhtar reveals the intersections of art, finance, race, religion, academia, and empire, and in the process, shows us a troubled reflection of our country in the twenty-first century.""

—Phil Klay, author of Redeployment",,1,3,https://amzn.to/49fu3fN,https://amzn.to/497cf7X,https://amzn.to/48Yq9ZZ
9780385521314,Say Nothing,A True Story of Murder and Memory in Northern Ireland,"A mother of ten vanishes from her Belfast home in 1972, dragged away in front of her children during one of Northern Ireland's darkest periods. Decades later, when her remains surface on a remote beach, the discovery reopens wounds that an entire community had tried to bury.

Keefe transforms this single disappearance into a lens through which to examine the complex web of violence, loyalty, and betrayal that defined the Northern Irish conflict. The narrative weaves between bomb-makers who risked everything for their cause, intelligence operatives playing deadly games of cat and mouse, and political figures who later rewrote their own histories when peace negotiations began.

This investigation reveals how a society torn apart by guerrilla warfare continues to grapple with questions of justice and memory. The book captures the moral ambiguity faced by those who lived through the conflict—former fighters questioning whether their actions served a noble cause or simply perpetuated cycles of revenge, and survivors struggling to find meaning in their losses.

Through intimate portraits of both perpetrators and victims, the story illuminates how political violence reshapes entire communities, leaving scars that persist long after the guns fall silent.","Using one notorious killing as its foundation, Keefe excavates the brutal history of the Troubles and its lasting wounds. Masterful true crime that reads like a thriller while honoring the human cost.",464,,True Crime / Murder,Doubleday,26/02/2019,Patrick Radden Keefe,"Patrick Radden Keefe writes for The New Yorker and has penned several New York Times bestsellers, including Rogues, Empire of Pain (which earned the Baillie Gifford Prize), and Say Nothing, recipient of a National Book Critics Circle Award and recognized by The New York Times Book Review as among the Twenty Best Books of the 21st Century. His accolades include a Guggenheim Fellowship, the National Magazine Award, and the Orwell Prize. He also served as executive producer for the acclaimed FX adaptation of Say Nothing.","""Meticulously reported, exquisitely written, and grippingly told, Say Nothing is a work of revelation. Keefe not only peels back, layer by layer, the truth behind one of the most important and mysterious crimes of a terrible conflict; he also excavates the history of the Troubles, and illuminates its repercussions to this day.""

—David Grann, #1 New York Times bestselling author of Killers of the Flower Moon

""Patrick Radden Keefe's gripping account of the Troubles is equal parts true-crime, history, and tragedy. Keefe's incisive reporting reveals the hidden costs of the Troubles, illuminating both the terrible toll of the conflict, and how it continues to reverberate today. A must read.""

—Gillian Flynn, #1 New York Times bestselling author of Gone Girl

""Resolutely humane. . .Say Nothing [has an] exacting and terrifying lucidity. . .meticulously reported. . .Keefe's narrative is an architectural feat, expertly constructed out of complex and contentious material, arranged and balanced just so. . .an absorbing drama.""

—Jennifer Szalai, The New York Times",,1,3,https://amzn.to/49jT09L,https://amzn.to/4qbWNxo,https://amzn.to/4jlwVfI
9780375424335,Building Stories,,"Chris Ware has crafted something unprecedented: a graphic novel that exists as physical puzzle pieces scattered across fourteen different formats. Readers receive a box filled with books, magazines, newspapers, and pamphlets—each component designed to be discovered in whatever sequence feels right.

The story centers on a woman caught between isolation and connection, examining how creative ambitions can wither alongside romantic relationships. Ware dissects the particular melancholy of educated adults who find themselves suspended between what they imagined their lives would become and the reality of unfulfilled potential.

Drawn from a decade of contributions to major publications, this collection weaves together previously published pieces with extensive new material. The result challenges every assumption about how stories should unfold, inviting readers to become active participants in constructing meaning. Rather than following a predetermined path, you create your own journey through this meditation on modern loneliness and the small moments that define our days.","An innovative graphic novel that arrives as 14 separate reading formats in a keepsake box, exploring loneliness and missed opportunities through Ware's masterful visual storytelling. Read in any order you choose.",500,Pantheon Graphic Library,Fiction / Comics & Graphic Novels / Literary,Pantheon,02/10/2012,Chris Ware,"Chris Ware stands among today's most celebrated cartoonists, having revolutionized the graphic novel form. His work Jimmy Corrigan: The Smartest Kid on Earth earned the Guardian First Book Award and recognition from The Times (London) as one of the century's essential reads. Both The New York Times and Time magazine selected Building Stories for their annual top fiction lists. Ware regularly contributes to The New Yorker and his art has been featured at prestigious venues including the Whitney Biennial and Museum of Contemporary Art in Chicago.","""Stunning . . . As usual, Mr. Ware's style is a model of compression in both word and picture. Less usual, for the genre as a whole, is the vividness with which he limns his heroine's intense, if fairly ordinary, inner life . . . The lack of clear structure, much less traditional linearity, turns reading into an unusually active process. This is a great, easily ownable work of art.""

—The New York Times

""There's no writer alive whose work I love more than Chris Ware. The only problem is it takes him ten years to draw these things and then I read them in a day and have to wait another ten years for the next one.""

—Zadie Smith, author of Swing Time & NW

""Ware provides one of the year's best arguments for the survival of print . . . the spectacular, breathtaking visual splendor make this one of the year's standout graphic novels.""

—Publishers Weekly",,2,4,https://amzn.to/498XgKJ,,
9780385537032,The Underground Railroad,,"Cora exists on the margins even within the confined world of a Georgia cotton plantation, where survival demands constant vigilance against both overseer's whip and fellow slaves' scorn. Caesar's arrival changes everything—his proposal to flee northward offers a lifeline she cannot refuse, despite the deadly consequences of capture.

Whitehead transforms America's most famous symbol of liberation into startling reality: locomotives thunder through subterranean passages, carrying freedom seekers between stations that reveal the nation's varied cruelties. Each destination confronts Cora with different manifestations of racial terror, from medical experimentation to false utopias built on violence.

This reimagining of historical trauma refuses easy comfort, connecting slavery's horrors to contemporary injustices through Cora's odyssey. Whitehead excavates the psychological and physical brutalities that shaped American identity, creating a narrative that functions both as thrilling escape story and unflinching examination of how the past continues to wound the present. The novel demands readers confront uncomfortable truths about freedom's true cost and the persistence of systemic oppression.",Cora escapes slavery via Whitehead's literalized Underground Railroad—actual trains running beneath the antebellum South. Each state offers new horrors and revelations in this Pulitzer Prize-winning masterpiece.,320,,Fiction / Literary,Doubleday,02/08/2016,Colson Whitehead,"Colson Whitehead has earned recognition as one of America's most vital contemporary voices, winning two Pulitzer Prizes for The Underground Railroad and The Nickel Boys, with the former also receiving the National Book Award. The #1 New York Times bestselling writer has produced twelve works spanning fiction and nonfiction. Both the MacArthur Foundation and Guggenheim Foundation have honored his contributions to literature, and he makes his home in New York City.","""Terrific.""

—Barack Obama

""A triumph.""

—The Washington Post

""Potent. . . .  Devastating. . . . Essential.""

—Michiko Kakutani, The New York Times",,1,4,https://amzn.to/4sBth5M,https://amzn.to/3YkJ0Iy,https://amzn.to/3YmAYPj
9780805090031,Bring Up the Bodies,,"The king's patience has reached its breaking point. After years of upheaval to secure his marriage to Anne Boleyn, Henry VIII finds himself trapped with a wife who has delivered everything except the male heir he desperately needs. Her razor-sharp wit and defiant nature, once captivating, now threaten the delicate balance of court politics.

Thomas Cromwell recognizes opportunity in the king's growing frustration. With Katherine of Aragon's death removing the last obstacle to a clean slate, Cromwell begins weaving the intricate plot that will eliminate Anne from the chessboard of Tudor politics. As Jane Seymour quietly positions herself as the next queen, Anne discovers that her intelligence and fierce independence—her greatest strengths—have become liabilities in a world where survival depends on submission.

Mantel crafts a psychological thriller from the final chapter of Anne Boleyn's life, examining how power shifts and alliances form when a queen's fate hangs in the balance. The novel dissects the machinery of political destruction, revealing how quickly triumph can transform into catastrophe in Henry's volatile court.","Thomas Cromwell orchestrates Anne Boleyn's downfall in this masterful sequel to Wolf Hall. Mantel transforms familiar Tudor history into something fresh and terrifying, following three weeks of conspiracy that will end with an execution.",432,Wolf Hall Trilogy,Fiction / Historical / Renaissance,Henry Holt and Co.,08/05/2012,Hilary Mantel,"Hilary Mantel wrote the acclaimed Thomas Cromwell trilogy, with Wolf Hall and Bring Up the Bodies each earning the Booker Prize. The Mirror & the Light, which completed the series, reached the top of the New York Times bestseller list upon publication. Throughout her career, she published seventeen books, including her memoir Giving Up the Ghost, and received numerous honors such as the National Book Critics Circle Award for Fiction, Walter Scott Prize, Costa Book Award, and Hawthornden Prize. The British government recognized her contributions to literature by naming her Dame Commander of the Order of the British Empire in 2014. She passed away in 2022.","""Two years ago something astonishingly fair happened in the world of prestigious prizes: the Man Booker Prize and the National Book Critics Circle Award for fiction for 2009 both went to the right winner. The book was Hilary Mantel's Wolf Hall, and it would have dwarfed the competition any year…It was a hard act to follow. But the follow-up is equally sublime…That ironic ending will be no cliffhanger for anyone even remotely familiar with Henry VIII's trail of carnage. But in Bring Up the Bodies it works as one. The wonder of Ms. Mantel's retelling is that she makes these events fresh and terrifying all over again.""

—The New York Times

""the finest works of historical fiction in contemporary literature.""

—The Washington Post

""In Mantel's hands, Cromwell's cunning, morally complicated orchestration of that historic slice through the royal neck is as exciting as any thriller.""

—Entertainment Weekly",,1,5,https://amzn.to/4qlmqfj,https://amzn.to/4q7VcIM,https://amzn.to/3YkUqvK
9781400067558,Behind the Beautiful Forevers,"Life, Death, and Hope in a Mumbai undercity","In Mumbai's Annawadi slum, families navigate the promises and perils of India's economic boom with fierce determination. Abdul transforms discarded waste into opportunity, while ambitious Asha pursues her own path toward upward mobility, hoping her daughter might break barriers as the community's first college-educated woman. Even the most vulnerable residents dare to imagine better futures.

Yet prosperity remains elusive as false accusations shatter lives, economic downturns reverse progress, and deep-seated divisions over religion, caste, and class erupt into violence. Katherine Boo spent years documenting these intersecting stories, revealing how global economic forces reshape intimate human experiences.

This work demonstrates journalism's power to illuminate hidden worlds with novelistic depth. Through meticulous observation and storytelling craft, Boo captures both the resilience and fragility of people pursuing dignity amid systemic inequality. The result challenges readers to confront uncomfortable truths about development, justice, and what it means to build a life against overwhelming odds.",Families in a Mumbai slum chase dreams of prosperity as India transforms around them. Boo's immersive reporting reveals how global forces play out in individual lives with devastating clarity.,288,,Social Science / Poverty & Homelessness,Random House,07/02/2012,Katherine Boo,"Katherine Boo writes for The New Yorker and previously worked as a reporter and editor at The Washington Post. Her journalism has earned her a Pulitzer Prize, MacArthur Fellowship, and National Magazine Award for Feature Writing. She has spent the past decade working between the United States and India. Behind the Beautiful Forevers marks her debut book.","""[An] exquisitely accomplished first book. Novelists dream of defining characters this swiftly and beautifully, but Ms. Boo is not a novelist. She is one of those rare, deep-digging journalists who can make truth surpass fiction, a documentarian with a superb sense of human drama. She makes it very easy to forget that this book is the work of a reporter. . . . Comparison to Dickens is not unwarranted.""

—Janet Maslin, The New York Times

""Riveting, fearlessly reported . . . [Behind the Beautiful Forevers] plays out like a swift, richly plotted novel. That's partly because Boo writes so damn well. But it's also because over the course of three years in India she got extraordinary access to the lives and minds of the Annawadi slum, a settlement nestled jarringly close to a shiny international airport and a row of luxury hotels.""

—Entertainment Weekly

""It might surprise you how completely enjoyable this book is, as rich and beautifully written as a novel. In the hierarchy of long form reporting, Katherine Boo is right up there.""

—David Sedaris",,1,5,https://amzn.to/4qrtiY2,https://amzn.to/4sdBflc,https://amzn.to/45dLdJJ
